snapped_at,price,market_cap,total_volume
2022-02-08 00:00:00 UTC,1.1225249717292194,0.0,20100.724360332708
2022-02-09 00:00:00 UTC,1.113112572448278,0.0,31347.970608572796
2022-02-10 00:00:00 UTC,1.1233951387257395,0.0,26322.074255670304
2022-02-11 00:00:00 UTC,1.118048766548456,0.0,40431.9967602218
2022-02-12 00:00:00 UTC,1.120065312866081,0.0,18079.98979979669
2022-02-13 00:00:00 UTC,1.1190175720554882,0.0,23326.620525999908
2022-02-14 00:00:00 UTC,1.1126722990109628,0.0,12728.555333502412
2022-02-15 00:00:00 UTC,1.104344037075166,0.0,23292.976342007667
2022-02-16 00:00:00 UTC,1.1072199411566468,0.0,23793.787650589195
2022-02-17 00:00:00 UTC,1.081802609823229,0.0,35618.48903943918
2022-02-18 00:00:00 UTC,1.0581769623505348,0.0,28897.835643325856
2022-02-19 00:00:00 UTC,1.054340667610164,0.0,10377.572411413463
2022-02-20 00:00:00 UTC,1.0576282206769656,0.0,7437.101165241907
2022-02-21 00:00:00 UTC,1.0475115954852672,0.0,16214.871654119714
2022-02-22 00:00:00 UTC,1.041164461002913,0.0,9894.545852256973
2022-02-23 00:00:00 UTC,1.0348039559321693,0.0,16290.529521817767
2022-02-24 00:00:00 UTC,1.0643671508291959,0.0,31887.4354379113
2022-02-25 00:00:00 UTC,1.0235636694687893,0.0,40208.51014482974
2022-02-26 00:00:00 UTC,1.0262017774672,0.0,21726.169322194215
2022-02-27 00:00:00 UTC,1.0175255894668807,0.0,13955.686435294538
2022-02-28 00:00:00 UTC,1.013165061766155,0.0,11905.410085477954
2022-03-01 00:00:00 UTC,1.015229507490898,0.0,15363.463550846085
2022-03-02 00:00:00 UTC,1.014344418906722,0.0,20249.0027339647
2022-03-03 00:00:00 UTC,1.0061827354347475,0.0,18492.294118835514
2022-03-04 00:00:00 UTC,1.0073284397898927,0.0,7991.445431198773
2022-03-05 00:00:00 UTC,1.005484588402589,0.0,11330.721966516705
2022-03-06 00:00:00 UTC,1.0154368733006187,0.0,28544.455055754515
2022-03-07 00:00:00 UTC,1.0099340108076122,0.0,15870.544821049762
2022-03-08 00:00:00 UTC,0.9927920040886432,0.0,15741.207007436145
2022-03-09 00:00:00 UTC,0.9908367747746267,0.0,7444.0843214936895
2022-03-10 00:00:00 UTC,0.9530465892719163,0.0,74450.75351133423
2022-03-11 00:00:00 UTC,1.005280418865679,0.0,23259.515106338487
2022-03-12 00:00:00 UTC,0.9559340433691804,0.0,67567.29951112365
2022-03-13 00:00:00 UTC,0.9673693626156032,0.0,13288.969811120865
2022-03-14 00:00:00 UTC,0.974829202824398,0.0,9118.841190570247
2022-03-15 00:00:00 UTC,0.9660759520654356,0.0,12569.60371305668
2022-03-16 00:00:00 UTC,0.9618097403446646,0.0,6535.238347208665
2022-03-17 00:00:00 UTC,0.9625090199790041,0.0,10876.357603790964
2022-03-18 00:00:00 UTC,0.9914161986719577,0.0,38834.15269783907
2022-03-19 00:00:00 UTC,0.9921741490153538,0.0,12782.722931578524
2022-03-20 00:00:00 UTC,0.9901820606785581,0.0,13183.52178784192
2022-03-21 00:00:00 UTC,0.9876708970103645,0.0,5959.578537729411
2022-03-22 00:00:00 UTC,0.9880755728030403,0.0,6472.839136211896
2022-03-23 00:00:00 UTC,0.9966733121539179,0.0,10381.805554647775
2022-03-24 00:00:00 UTC,0.9957645189436263,0.0,15231.698070242926
2022-03-25 00:00:00 UTC,1.0003663520364452,0.0,14003.873975467153
2022-03-26 00:00:00 UTC,0.9987214457040755,0.0,15081.730389825248
2022-03-27 00:00:00 UTC,1.0052848005979642,0.0,9718.641095071433
2022-03-28 00:00:00 UTC,0.9970502251507503,0.0,27850.639168601203
2022-03-29 00:00:00 UTC,0.9980193003978395,0.0,25338.31495847791
2022-03-30 00:00:00 UTC,1.002119221259378,0.0,16256.161388037533
2022-03-31 00:00:00 UTC,1.0034862328381633,0.0,18060.712103575577
2022-04-01 00:00:00 UTC,1.0013408420813898,0.0,19384.56083088016
2022-04-02 00:00:00 UTC,0.967525146363807,0.0,101691.04593254968
2022-04-03 00:00:00 UTC,0.9720906739896892,0.0,31968.902309691828
2022-04-04 00:00:00 UTC,0.9656355223450871,0.0,12398.80530019347
2022-04-05 00:00:00 UTC,0.9724166201126114,0.0,15054.855613086384
2022-04-06 00:00:00 UTC,0.9699077645444305,0.0,15779.82629325147
2022-04-07 00:00:00 UTC,0.9636388108624004,0.0,10539.28560720838
2022-04-08 00:00:00 UTC,0.9550556966522122,0.0,17484.313535763817
2022-04-09 00:00:00 UTC,0.9568673446729221,0.0,8338.288555949446
2022-04-10 00:00:00 UTC,0.9526040397623923,0.0,7107.739643695011
2022-04-11 00:00:00 UTC,0.9073596670121726,0.0,82405.5159568379
2022-04-12 00:00:00 UTC,0.9037134219700437,0.0,36676.188210436536
2022-04-13 00:00:00 UTC,0.9127926102640566,0.0,15926.52178871039
2022-04-14 00:00:00 UTC,0.9034833558483388,0.0,26521.370785640054
2022-04-15 00:00:00 UTC,0.9095017035239441,0.0,14120.689501391766
2022-04-16 00:00:00 UTC,0.8925554777387142,0.0,25293.855149370316
2022-04-17 00:00:00 UTC,0.9130983619344539,0.0,16816.531456490786
2022-04-18 00:00:00 UTC,0.9153109449232524,0.0,4551.24364744865
2022-04-19 00:00:00 UTC,0.8974342422977972,0.0,21613.086324771586
